threshold,accuracy,anomaly_precision,anomaly_recall,anomaly_f1
0.5,0.811425,0.9261134295683109,0.67685,0.7821012797180577
0.45,0.801125,0.8778942084457552,0.69955,0.7786403984751092
0.4,0.776875,0.7984370789544597,0.74075,0.7685125145895474
0.35,0.72145,0.6892735042735043,0.80645,0.7432718894009217
