anomaly_weight,accuracy,anomaly_precision,anomaly_recall,anomaly_f1
1,0.8161,0.9779978829578104,0.64675,0.7786071149100102
2,0.811425,0.9261134295683109,0.67685,0.7821012797180577
3,0.7818,0.8109688810417126,0.7349,0.7710628475500997
5,0.606425,0.5654822335025381,0.91905,0.700161889343872
